section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	15
local	posteriorMassOfLocalPeaks	0.8520359120
local	meanUphillFraction	0.4999122218
local	posteriorWeightedMeanUphillFraction	0.0106345745
local	meanBestNeighborLnLDifference	38.2610433649
local	posteriorWeightedMeanBestNeighborLnLDifference	-1.2386206361
local	meanNeighborAbsLnLDifference	13.5777172564
local	posteriorWeightedMeanNeighborAbsLnLDifference	17.3923789665
basin	numPeaks	15
basin	numPeaksMassGreater01	1
basin	numPeaksMassGreater05	1
basin	largestBasinSize	923922
basin	largestBasinMass	0.9974139662
basin	basinMassEntropy	0.0179949579
basin	effectiveNumBasins	1.0181578427
basin	mapTreeHash	2870967922423119304
basin	mapPeakHash	2870967922423119304
basin	mapPeakId	0
basin	mapBasinMass	0.9974139662
basin	posteriorMassOutsideMapBasin	0.0025860338
ascent	meanAscentLength	10.8285936286
ascent	posteriorWeightedMeanAscentLength	0.1482736008
ascent	meanAscentLengthCredible95	0.5000000000
ascent	posteriorWeightedMeanAscentLengthCredible95	0.1458854002
ascent	maxAscentLength	24
credible95	credible95NumTrees	2
credible95	credible95Mass	0.9963428870
credible95	credible95NumComponents	1
credible95	credible95LargestComponentSize	2
credible95	credible95LargestComponentMass	0.9963428870
credible95	credible95MapComponentSize	2
credible95	credible95MapComponentMass	0.9963428870
barrier	basinGraphEdges	96
barrier	meanBasinGraphDegree	12.8000000000
barrier	mapBasinGraphDegree	14
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	8.5946784524
barrier	meanBarrier	69.3950734602
barrier	posteriorWeightedMeanBarrier	5.2440695419
barrier	maxBarrier	296.0308936324

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	2870967922423119304	0.8509910062	923922	0.9974139662
1	8503988867675560274	0.0010444460	561955	0.0025854319
2	792803319761188329	0.0000004596	280412	0.0000006017
3	10198584476546627274	0.0000000002	59549	0.0000000002
4	3829751152940691828	0.0000000000	37078	0.0000000000
5	5247846392087791657	0.0000000000	20930	0.0000000000
6	16393983788334470586	0.0000000000	57995	0.0000000000
7	15640370084378316098	0.0000000000	78480	0.0000000000
8	3900591401446325758	0.0000000000	1198	0.0000000000
9	17011690504967338450	0.0000000000	1561	0.0000000000
10	7095251626885902155	0.0000000000	2092	0.0000000000
11	14587690802677974397	0.0000000000	986	0.0000000000
12	13402267296112360766	0.0000000000	664	0.0000000000
13	14039454163682028397	0.0000000000	131	0.0000000000
14	193094558787805893	0.0000000000	72	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
8	6	3900591401446325758	16393983788334470586	8730601272205094430	17574220539667893370	-12487.2626953125	0.0000000000	86.3790542196	133.5585252718
8	11	3900591401446325758	14587690802677974397	17004424470231725692	18226730732598313640	-12504.6298828125	0.0000000000	103.7462417196	78.5563289259
1	13	8503988867675560274	14039454163682028397	7865067454695964718	14039454163682028397	-12519.9726562500	0.0000000000	201.4396150452	0.1624609863
0	13	2870967922423119304	14039454163682028397	8136856940085793812	14039454163682028397	-12520.6083984375	0.0000000000	208.7782722024	0.7982031738
13	9	14039454163682028397	17011690504967338450	3949629600843316578	15701328428334467299	-12523.6982421875	0.0000000000	3.8880469238	120.6242966505
14	0	193094558787805893	2870967922423119304	193094558787805893	7912217027573033148	-12525.1250000000	0.0000000000	0.4818741693	213.2948737649
4	13	3829751152940691828	14039454163682028397	147080476190711487	5369713389235709795	-12526.8398437500	0.0000000000	185.5968379751	7.0296484863
14	4	193094558787805893	3829751152940691828	147080476190711487	193094558787805893	-12526.8398437500	0.0000000000	2.1967179193	185.5968379751
2	13	792803319761188329	14039454163682028397	6321029332277829959	11752582123943306489	-12527.1093750000	0.0000000000	200.8478009697	7.2991797363
8	13	3900591401446325758	14039454163682028397	6321029332277829959	13652911287101308329	-12527.1093750000	0.0000000000	126.2257339071	7.2991797363
14	1	193094558787805893	8503988867675560274	193094558787805893	7293596161956538599	-12527.3710937500	0.0000000000	2.7279679193	208.8380525452
14	2	193094558787805893	792803319761188329	503628345424358305	14043892604810438760	-12533.6181640625	0.0000000000	8.9750382318	207.3565900322
14	13	193094558787805893	14039454163682028397	27159210454725854	5182388805281275414	-12541.9980468750	0.0000000000	17.3549210443	22.1878516113
13	6	14039454163682028397	16393983788334470586	2376380120959145413	6706857512933038237	-12569.4873046875	0.0000000000	49.6771094238	215.7831346468
10	13	7095251626885902155	14039454163682028397	13143001935749123991	17037584416194592145	-12573.6552734375	0.0000000000	149.7077161418	53.8450781738
5	9	5247846392087791657	17011690504967338450	14422891589282629040	17806965291642537627	-12578.4941406250	0.0000000000	230.3674180378	175.4201950880
13	11	14039454163682028397	14587690802677974397	2879839461508342291	9787030072672727196	-12581.1816406250	0.0000000000	61.3714453613	155.1080867384
14	11	193094558787805893	14587690802677974397	17706498011662176999	18121980362597822110	-12581.3701171875	0.0000000000	56.7269913568	155.2965633009
14	7	193094558787805893	15640370084378316098	1721546351345679042	14570349544399416941	-12594.3593750000	0.0000000000	69.7162491693	237.0822713348
12	13	13402267296112360766	14039454163682028397	5509269892128230886	17913026774675823780	-12597.2988281250	0.0000000000	156.3570589128	77.4886328613
8	5	3900591401446325758	5247846392087791657	5992879241066892191	9095968568872688705	-12597.6582031250	0.0000000000	196.7745620321	249.5314805378
14	3	193094558787805893	10198584476546627274	15743966031004983246	18061030819876353831	-12602.1435546875	0.0000000000	77.5004288568	268.0191748824
5	13	5247846392087791657	14039454163682028397	6075709191670140835	18116259773230505092	-12608.0068359375	0.0000000000	259.8801133503	88.1966406738
13	7	14039454163682028397	15640370084378316098	4448602480411641509	6245527351895666297	-12611.5439453125	0.0000000000	91.7337500488	254.2668416473
3	12	10198584476546627274	13402267296112360766	7535806397947268811	12834589619251153720	-12630.1552734375	0.0000000000	296.0308936324	189.2135042253
