analysis	power	num_reps	num_found	fraction_found	fraction_se	mean_first_hit	mean_first_hit_se	censored_mean_first_hit	censored_mean_first_hit_se
rTBR	0.2	50	50	1.0	0.0	27.34	1.8699798099968667	27.34	1.8699798099968667
rTBR	0.2	50	50	1.0	0.0	65.24	6.671814611039611	65.24	6.671814611039611
rTBR	0.2	50	50	1.0	0.0	20.42	1.4320215481219947	20.42	1.4320215481219947
mc3_NNI	0.2	50	32	0.64	0.06788225099390856	141184.40625	50584.1950379844	450358.02	67112.54806059525
mc3_NNI	0.2	50	50	1.0	0.0	26.0	3.4367758977606573	26.0	3.4367758977606573
mc3_NNI	0.2	50	50	1.0	0.0	66.56	11.293240166993163	66.56	11.293240166993163
mc3_NNI	0.2	50	50	1.0	0.0	36.02	2.987250459222067	36.02	2.987250459222067
mc3_NNI	0.2	50	50	1.0	0.0	19.98	3.58380598053556	19.98	3.58380598053556
NNI	0.3	50	0	0.0	0.0			1000000.0	0.0
NNI	0.3	50	50	1.0	0.0	21773.5	11357.875720873879	21773.5	11357.875720873879
NNI	0.3	50	48	0.96	0.02771281292110205	102733.375	35016.58689833338	138624.04	41952.294698436424
NNI	0.3	50	50	1.0	0.0	158.66	29.266831682549682	158.66	29.266831682549682
NNI	0.3	50	50	1.0	0.0	20615.14	16071.07325796461	20615.14	16071.07325796461
NNI2	0.3	50	21	0.42	0.06979971346646059	9.904761904761905	1.03947047394967	580004.16	70507.65979997398
NNI2	0.3	50	50	1.0	0.0	1105.48	689.0057244749014	1105.48	689.0057244749014
NNI2	0.3	50	46	0.92	0.038366652186501746	23993.782608695652	18826.580491009434	102074.28	41596.77880572338
NNI2	0.3	50	50	1.0	0.0	60.24	8.624812804830453	60.24	8.624812804830453
NNI2	0.3	50	50	1.0	0.0	2278.54	1987.2448332075753	2278.54	1987.2448332075753
TBR	0.3	50	50	1.0	0.0	13.46	1.4151397133015755	13.46	1.4151397133015755
TBR	0.3	50	50	1.0	0.0	9.82	0.9243596790895472	9.82	0.9243596790895472
TBR	0.3	50	50	1.0	0.0	8.22	0.5324490969250737	8.22	0.5324490969250737
TBR	0.3	50	50	1.0	0.0	33.9	3.9580710618446764	33.9	3.9580710618446764
TBR	0.3	50	50	1.0	0.0	5.18	0.24022098669554162	5.18	0.24022098669554162
rTBR	0.3	50	50	1.0	0.0	25.42	1.9441361336394243	25.42	1.9441361336394243
rTBR	0.3	50	50	1.0	0.0	27.3	2.0694571899956014	27.3	2.0694571899956014
rTBR	0.3	50	50	1.0	0.0	23.4	1.7865712229558266	23.4	1.7865712229558266
rTBR	0.3	50	50	1.0	0.0	51.18	5.392412659071474	51.18	5.392412659071474
rTBR	0.3	50	50	1.0	0.0	19.76	1.291592909897681	19.76	1.291592909897681
mc3_NNI	0.3	50	9	0.18	0.054332310828824504	10529.777777777777	10235.637323122279	821895.36	54334.34687023023
mc3_NNI	0.3	50	50	1.0	0.0	431.88	141.21393421446245	431.88	141.21393421446245
mc3_NNI	0.3	50	50	1.0	0.0	1509.08	423.4584487627699	1509.08	423.4584487627699
mc3_NNI	0.3	50	50	1.0	0.0	43.48	5.253355778811817	43.48	5.253355778811817
mc3_NNI	0.3	50	50	1.0	0.0	321.82	100.00200279627056	321.82	100.00200279627056
NNI	0.4	50	2	0.04	0.027712812921102035	75.5	15.5	960003.02	27992.054932732874
NNI	0.4	50	45	0.9	0.04242640687119285	56176.91111111111	13484.17305138207	150559.22	42226.882294366435
NNI	0.4	50	30	0.6	0.06928203230275509	234509.96666666667	51609.605356748	540705.98	61773.085682844045
NNI	0.4	50	50	1.0	0.0	121.84	18.51074392930566	121.84	18.51074392930566
NNI	0.4	50	37	0.74	0.06203224967708329	124521.21621621621	38565.986097640314	352145.7	61791.30652841358
NNI2	0.4	50	13	0.26	0.06203224967708329	7.230769230769231	0.651958058209801	740001.88	62661.58176110612
NNI2	0.4	50	47	0.94	0.03358571124749334	7821.425531914893	6612.1430344898	67352.14	34229.61633401528
NNI2	0.4	50	33	0.66	0.0669925368977769	59154.90909090909	31207.826928013917	379042.24	66884.89801815068
NNI2	0.4	50	50	1.0	0.0	58.74	8.23451224036583	58.74	8.23451224036583
NNI2	0.4	50	40	0.8	0.0565685424949238	11696.425	6481.830550725413	209357.14	56710.84440596489
TBR	0.4	50	50	1.0	0.0	10.46	0.7789108041466151	10.46	0.7789108041466151
TBR	0.4	50	50	1.0	0.0	10.18	0.8180065365738534	10.18	0.8180065365738534
TBR	0.4	50	50	1.0	0.0	5.68	0.2578403239469366	5.68	0.2578403239469366
TBR	0.4	50	50	1.0	0.0	22.76	2.6883816541494525	22.76	2.6883816541494525
TBR	0.4	50	50	1.0	0.0	5.08	0.20768893537584282	5.08	0.20768893537584282
rTBR	0.4	50	50	1.0	0.0	30.78	2.988998876833895	30.78	2.988998876833895
rTBR	0.4	50	50	1.0	0.0	25.46	2.2852160171191604	25.46	2.2852160171191604
rTBR	0.4	50	50	1.0	0.0	23.6	1.5994897145461036	23.6	1.5994897145461036
rTBR	0.4	50	50	1.0	0.0	57.58	6.047370148608874	57.58	6.047370148608874
rTBR	0.4	50	50	1.0	0.0	21.66	1.1950954192969236	21.66	1.1950954192969236
mc3_NNI	0.4	50	6	0.12	0.04595650117230423	50.0	22.783034623742875	880006.0	46420.75551254975
mc3_NNI	0.4	50	49	0.98	0.019798989873223337	17507.38775510204	5106.674904786592	37157.24	20276.87591041015
mc3_NNI	0.4	50	50	1.0	0.0	159329.68	30698.079788068913	159329.68	30698.079788068913
mc3_NNI	0.4	50	50	1.0	0.0	52.14	6.956013988790196	52.14	6.956013988790196
mc3_NNI	0.4	50	48	0.96	0.02771281292110205	32112.395833333332	15932.188885111436	70827.9	31110.856883878714
NNI	0.5	50	1	0.02	0.01979898987322333	35.0	0.0	980000.7	19999.3
NNI	0.5	50	23	0.46	0.07048404074682439	284011.0869565217	61108.56586701873	670645.1	58051.78647683498
NNI	0.5	50	5	0.1	0.042426406871192854	121958.0	121054.58315280755	912195.8	39187.63931516557
NNI	0.5	50	50	1.0	0.0	258.88	44.98589021423658	258.88	44.98589021423658
NNI	0.5	50	10	0.2	0.05656854249492381	164583.0	72342.73139161944	832916.6	49710.93946776048
NNI2	0.5	50	18	0.36	0.06788225099390856	6556.333333333333	5404.858617923189	642360.28	68148.62598229195
NNI2	0.5	50	30	0.6	0.06928203230275509	33019.03333333333	19775.788993515624	419811.42	68692.95026991171
NNI2	0.5	50	13	0.26	0.06203224967708329	17002.076923076922	15967.010396624572	744420.54	61728.28010986378
NNI2	0.5	50	50	1.0	0.0	128.22	31.47586428762618	128.22	31.47586428762618
TBR	0.5	50	50	1.0	0.0	9.7	0.8067318801997428	9.7	0.8067318801997428
TBR	0.5	50	50	1.0	0.0	100.92	39.299019461205965	100.92	39.299019461205965
TBR	0.5	50	50	1.0	0.0	5.5	0.21044171232366052	5.5	0.21044171232366052
TBR	0.5	50	50	1.0	0.0	22.44	3.392568107989424	22.44	3.392568107989424
rTBR	0.5	50	50	1.0	0.0	25.02	1.224741538747949	25.02	1.224741538747949
rTBR	0.5	50	50	1.0	0.0	26.92	2.319542530547868	26.92	2.319542530547868
rTBR	0.5	50	50	1.0	0.0	22.52	1.4664242223858688	22.52	1.4664242223858688
rTBR	0.5	50	50	1.0	0.0	52.72	5.27172202048102	52.72	5.27172202048102
mc3_NNI	0.5	50	1	0.02	0.01979898987322333	380.0	0.0	980007.6	19992.4
mc3_NNI	0.5	50	39	0.78	0.05858327406350723	261109.4871794872	40754.993417676575	423665.4	54006.37389280821
mc3_NNI	0.5	50	10	0.2	0.05656854249492381	44160.3	42932.20110982483	808832.06	55235.75412261711
mc3_NNI	0.5	50	50	1.0	0.0	165.0	17.05192550022742	165.0	17.05192550022742
