section	statistic	value
summary	numTrees	2027025
summary	numEdges	14189175
summary	meanDegree	14.0000000000
local	numLocalPeaks	25
local	posteriorMassOfLocalPeaks	0.5381321433
local	meanUphillFraction	0.4999772362
local	posteriorWeightedMeanUphillFraction	0.0463088862
local	meanBestNeighborLnLDifference	19.2324641080
local	posteriorWeightedMeanBestNeighborLnLDifference	-0.2509058612
local	meanNeighborAbsLnLDifference	8.3625959408
local	posteriorWeightedMeanNeighborAbsLnLDifference	8.5231393496
basin	numPeaks	25
basin	numPeaksMassGreater01	2
basin	numPeaksMassGreater05	2
basin	largestBasinSize	924989
basin	largestBasinMass	0.8080418839
basin	basinMassEntropy	0.4936211736
basin	effectiveNumBasins	1.6382378354
basin	mapTreeHash	1468850521170747849
basin	mapPeakHash	1468850521170747849
basin	mapPeakId	0
basin	mapBasinMass	0.8080418839
basin	posteriorMassOutsideMapBasin	0.1919581161
ascent	meanAscentLength	10.9341764408
ascent	posteriorWeightedMeanAscentLength	0.4963616977
ascent	meanAscentLengthCredible95	0.8333333333
ascent	posteriorWeightedMeanAscentLengthCredible95	0.4585037593
ascent	maxAscentLength	24
credible95	credible95NumTrees	6
credible95	credible95Mass	0.9547499595
credible95	credible95NumComponents	2
credible95	credible95LargestComponentSize	5
credible95	credible95LargestComponentMass	0.7711246040
credible95	credible95MapComponentSize	5
credible95	credible95MapComponentMass	0.7711246040
barrier	basinGraphEdges	244
barrier	meanBasinGraphDegree	19.5200000000
barrier	mapBasinGraphDegree	24
barrier	basinGraphConnected	1
barrier	minBarrierFromMap	4.0633293987
barrier	meanBarrier	46.6003898838
barrier	posteriorWeightedMeanBarrier	3.7515049713
barrier	maxBarrier	153.8817359086

# peaks
peakId	peakHash	peakTreeProbability	basinNumTrees	basinPosteriorMass
0	1468850521170747849	0.3541740306	924989	0.8080418839
1	9595187430683900120	0.1836253555	507664	0.1912974629
2	18304440094376874504	0.0003066812	313966	0.0006158852
3	7859957881495821077	0.0000259747	77506	0.0000446308
4	4865475477246680376	0.0000000638	74244	0.0000000974
5	5301191236111033279	0.0000000374	36909	0.0000000397
6	13737743600836533406	0.0000000001	11488	0.0000000001
7	3847092722669455688	0.0000000001	5672	0.0000000001
8	14049893413071493124	0.0000000000	14188	0.0000000000
9	12748971180908838233	0.0000000000	3250	0.0000000000
10	14691359977546588917	0.0000000000	18606	0.0000000000
11	17486628815982300728	0.0000000000	5536	0.0000000000
12	2557021980928662359	0.0000000000	9279	0.0000000000
13	3049368156510934102	0.0000000000	1216	0.0000000000
14	16458604756346225983	0.0000000000	3167	0.0000000000
15	11891478448177776713	0.0000000000	4325	0.0000000000
16	600072142800552365	0.0000000000	2504	0.0000000000
17	7761972936190404162	0.0000000000	7545	0.0000000000
18	14225899575374872991	0.0000000000	2645	0.0000000000
19	14065391123596508350	0.0000000000	318	0.0000000000
20	10799242644071972568	0.0000000000	371	0.0000000000
21	1158551623325779908	0.0000000000	789	0.0000000000
22	18317432355351044699	0.0000000000	690	0.0000000000
23	4360995553744515679	0.0000000000	59	0.0000000000
24	16158143083407435747	0.0000000000	99	0.0000000000

# saddles
peakId1	peakId2	peakHash1	peakHash2	saddleTree1	saddleTree2	saddleLnL	saddleProbability	barrierFromPeak1	barrierFromPeak2
15	11	11891478448177776713	17486628815982300728	5028229518553388557	16102147103058557374	-5849.7744140625	0.0000000000	19.5251902846	27.9873640549
14	11	16458604756346225983	17486628815982300728	8371070548395928767	11213450280503203464	-5850.5717773438	0.0000000000	20.6257368962	28.7847273362
16	1	600072142800552365	9595187430683900120	4920452139812552898	8781676317595720569	-5850.6235351562	0.0000000000	16.9922194053	62.0538995026
15	14	11891478448177776713	16458604756346225983	15579699618821112787	17311654212805379651	-5850.9853515625	0.0000000000	20.7361277846	21.0393111150
20	2	10799242644071972568	18304440094376874504	10799242644071972568	12526714241085179413	-5851.2739257812	0.0000000000	0.0792822424	56.3094459894
17	2	7761972936190404162	18304440094376874504	16627318249803523737	17944874480455073121	-5851.3271484375	0.0000000000	15.9512690186	56.3626686456
3	18	7859957881495821077	14225899575374872991	2183971787239717246	9816499231840720558	-5851.9360351562	0.0000000000	54.5028713844	10.5205880601
17	6	7761972936190404162	13737743600836533406	6937437142818490664	16057797718147666243	-5852.3837890625	0.0000000000	17.0079096436	42.4208390168
0	20	1468850521170747849	10799242644071972568	6181703063090827460	10799242644071972568	-5852.7426757812	0.0000000000	64.8299309612	1.5480322424
21	0	1158551623325779908	1468850521170747849	1158551623325779908	3182531556073088641	-5853.3149414062	0.0000000000	0.6293029287	65.4021965862
4	14	4865475477246680376	16458604756346225983	183031771328303339	2721510592847241697	-5853.6464843750	0.0000000000	50.2041857139	23.7004439275
1	8	9595187430683900120	14049893413071493124	7161079152289454055	10759755119404664081	-5853.7612304688	0.0000000000	65.1915948151	41.0979453128
16	15	600072142800552365	11891478448177776713	1528356105036049056	7985144739493551048	-5854.0063476562	0.0000000000	20.3750319053	23.7571238783
21	12	1158551623325779908	2557021980928662359	1158551623325779908	16852872518351869536	-5854.1923828125	0.0000000000	1.5067443350	28.0865990087
3	10	7859957881495821077	14691359977546588917	6600678486098458547	13022582976518479608	-5854.3872070312	0.0000000000	56.9540432594	39.6666853971
19	2	14065391123596508350	18304440094376874504	4500071690379963706	17144023809089574280	-5855.2924804688	0.0000000000	6.1854133381	60.3280006769
3	15	7859957881495821077	11891478448177776713	2720056816873883750	3060657635609326558	-5855.9541015625	0.0000000000	58.5209377907	25.7048777846
8	11	14049893413071493124	17486628815982300728	4759673425812974718	6458558494828492983	-5855.9584960938	0.0000000000	43.2952109378	34.1714460862
4	9	4865475477246680376	12748971180908838233	8742646118927083731	15335172447806942607	-5856.0058593750	0.0000000000	52.5635607139	42.2982495936
12	22	2557021980928662359	18317432355351044699	4184069195277293650	18317432355351044699	-5856.1953125000	0.0000000000	30.0895286962	1.0359119593
6	18	13737743600836533406	14225899575374872991	4867831800542471591	6857687038888991254	-5856.9565429688	0.0000000000	46.9935929231	15.5410958726
21	4	1158551623325779908	4865475477246680376	5235908351757012638	15692167750923747204	-5857.0766601562	0.0000000000	4.3910216787	53.6343614952
21	22	1158551623325779908	18317432355351044699	5235908351757012638	18317432355351044699	-5857.0766601562	0.0000000000	4.3910216787	1.9172596156
4	18	4865475477246680376	14225899575374872991	4867831800542471591	6339611419463919414	-5857.2460937500	0.0000000000	53.8037950889	15.8306466538
